loc,v(g),ev(g),iv(g),defects
1,1,1,1,0
1,1,1,1,1
72,7,1,6,1
190,3,1,3,1
37,4,1,4,1
31,2,1,2,1
78,9,5,4,1
8,1,1,1,1
24,2,1,2,1
143,22,20,10,1
73,10,4,6,1
83,11,10,7,1
12,3,1,1,1
48,4,1,4,1
68,8,1,5,1
138,22,10,8,1
10,1,1,1,1
250,49,34,16,1
77,8,1,1,1
85,9,1,7,1
110,17,13,8,1
49,6,6,3,1
187,35,26,16,1
27,6,6,3,1
38,8,1,3,1
294,43,33,24,1
29,3,1,3,1
160,5,4,3,1
94,16,9,5,1
48,3,1,3,1
14,2,1,2,1
32,6,4,4,1
11,1,1,1,1
20,3,1,1,1
39,1,1,1,1
63,21,21,8,1
78,6,1,5,1
209,26,17,19,1
6,2,1,1,1
44,13,13,7,1
24,3,1,1,1
23,2,1,2,1
69,6,3,4,1
148,19,10,11,1
83,20,15,7,1
53,4,1,4,1
97,15,12,4,1
25,2,1,2,1
466,110,95,85,1
110,27,14,9,1
113,19,18,11,1
119,9,7,7,1
15,3,1,2,1
44,10,8,10,1
124,55,55,55,1
8,1,1,1,1
8,1,1,1,1
162,27,23,26,1
113,27,20,16,1
8,1,1,1,1
8,1,1,1,1
9,2,1,1,1
179,36,27,35,1
171,16,1,16,1
77,15,11,15,1
8,1,1,1,1
12,4,1,1,1
42,9,1,4,1
14,1,1,1,1
19,5,1,1,1
88,8,1,7,1
13,2,1,2,1
46,4,1,4,1
129,30,18,25,1
20,1,1,1,1
22,1,1,1,1
32,2,1,2,1
13,1,1,1,1
12,3,1,2,1
6,1,1,1,1
17,3,1,1,1
5,1,1,1,1
227,55,22,26,1
68,5,1,4,1
37,4,1,4,1
106,12,5,9,1
18,1,1,1,1
100,11,1,7,1
99,14,5,11,1
53,6,1,3,1
4,1,1,1,1
4,1,1,1,1
4,1,1,1,1
4,1,1,1,1
4,1,1,1,1
50,5,5,3,1
14,3,1,1,1
11,2,1,1,1
174,15,11,7,1
33,4,1,3,1
4,1,1,1,1
13,2,1,2,1
135,11,1,9,1
49,6,3,5,1
45,6,1,3,1
65,4,4,1,1
40,5,3,5,1
59,7,5,7,1
31,4,3,4,1
45,9,9,5,1
31,6,1,3,1
28,2,1,2,1
49,3,1,3,1
30,5,3,4,1
146,15,9,9,1
127,16,10,9,1
85,18,11,1,1
28,5,3,4,1
21,4,3,3,1
127,23,21,8,1
45,12,1,6,1
31,3,1,2,1
11,3,1,2,1
28,6,6,4,1
61,8,1,3,1
12,2,1,1,1
20,6,6,2,1
28,3,1,2,1
55,4,1,4,1
38,6,1,3,1
14,10,7,6,1
142,11,1,3,1
29,3,1,2,1
15,2,1,2,1
54,5,1,4,1
105,6,1,4,1
29,3,3,2,1
15,3,1,1,1
24,4,4,2,1
25,4,4,2,1
88,14,1,14,1
116,13,7,12,1
71,5,1,4,1
49,4,3,3,1
87,10,5,4,1
19,2,1,2,1
99,9,1,7,1
84,8,5,5,1
77,10,1,10,1
139,20,8,3,1
37,5,1,1,1
29,3,1,3,1
20,3,1,3,1
31,3,1,3,1
34,5,1,1,1
62,6,4,5,1
132,31,23,12,1
18,4,1,3,1
68,4,3,4,1
4,1,1,1,1
22,1,1,1,1
10,2,1,1,1
76,8,6,7,1
20,2,1,2,1
20,2,1,2,1
31,6,1,2,1
89,21,4,5,1
81,9,5,4,1
30,2,1,2,1
47,11,4,6,1
191,27,18,23,1
36,7,1,4,1
43,12,6,5,1
219,31,14,7,1
8,1,1,1,1
14,3,1,2,1
24,2,1,2,1
24,2,1,2,1
26,2,1,2,1
70,5,1,1,1
24,4,1,2,1
25,4,3,3,1
36,2,1,2,1
29,4,1,3,1
28,7,1,4,1
6,1,1,1,1
40,5,1,5,1
45,8,4,6,1
45,7,1,6,1
4,1,1,1,1
160,18,8,6,1
27,4,3,2,1
121,22,1,13,1
12,2,1,1,1
26,2,1,2,1
25,6,6,3,1
34,9,9,7,1
33,9,9,7,1
145,10,4,6,1
5,1,1,1,1
28,7,5,4,1
46,8,3,5,1
41,10,10,4,1
85,18,14,17,1
60,16,7,6,1
31,7,5,5,1
39,8,6,6,1
27,6,4,4,1
62,16,13,7,1
138,35,21,17,1
30,8,7,4,1
34,9,1,6,1
13,4,4,2,1
26,34,34,1,1
43,11,1,10,1
67,11,10,8,1
14,4,1,4,1
17,5,4,2,1
31,4,3,2,1
42,7,4,4,1
19,2,1,2,1
20,3,1,2,1
13,5,5,3,1
14,3,1,2,1
20,4,1,4,1
130,25,11,9,1
37,6,6,4,1
24,8,7,5,1
89,9,6,4,1
28,9,8,3,1
91,11,11,9,1
42,6,5,5,1
74,8,3,6,1
33,4,4,3,1
96,11,4,9,1
6,1,1,1,1
9,3,3,2,1
21,7,7,3,1
113,19,1,10,1
5,1,1,1,1
7,2,1,2,1
43,4,1,3,1
63,12,1,8,1
8,1,1,1,1
8,1,1,1,1
8,1,1,1,1
573,38,17,19,1
104,13,5,10,1
77,8,5,5,1
39,4,1,4,1
30,4,3,2,1
79,7,1,6,1
240,40,6,34,1
86,12,1,2,1
82,15,1,14,1
101,22,19,7,1
55,12,12,3,1
41,5,1,3,1
35,12,5,2,1
8,1,1,1,1
200,25,20,11,1
27,2,1,1,1
32,3,1,2,1
41,7,6,2,1
165,16,11,11,1
23,4,1,3,1
16,3,3,2,1
54,7,1,7,1
31,1,1,1,1
15,1,1,1,1
7,1,1,1,1
31,12,7,2,1
81,24,18,2,1
27,8,7,3,1
164,5,1,5,1
116,2,1,1,1
56,5,1,5,1
60,8,5,3,1
36,4,1,2,1
7,1,1,1,1
184,9,7,1,1
469,2,1,2,1
242,3,3,3,1
96,1,1,1,1
463,94,52,68,1
169,5,1,5,1
221,1,1,1,1
95,22,19,16,1
85,4,1,3,1
113,1,1,1,1
91,2,1,2,1
22,3,1,3,1
57,7,5,3,1
22,2,1,2,1
22,2,1,2,1
163,5,1,5,1
166,1,1,1,1
15,1,1,1,1
41,5,3,3,1
61,26,24,8,1
56,6,5,2,1
55,6,1,6,1
415,9,1,8,1
43,2,1,2,1
21,6,4,3,1
50,6,1,6,1
163,5,1,5,1
168,5,1,5,1
324,6,1,6,1
169,5,1,5,1
139,5,1,5,1
455,23,1,11,1
66,3,1,3,1
106,3,1,3,1
123,2,1,2,1
124,7,1,3,1
163,5,1,5,1
77,1,1,1,1
26,2,1,2,1
65,7,1,4,1
52,6,5,2,1
24,4,1,2,1
53,10,6,6,1
24,5,4,4,1
17,2,1,2,1
45,1,1,1,1
38,3,3,2,1
57,3,3,2,1
152,3,1,3,1
34,7,4,5,1
14,1,1,1,1
55,4,1,2,1
42,5,1,3,1
35,4,3,2,1
36,4,1,4,1
117,18,10,13,1
13,3,1,3,1
4,1,1,1,1
30,4,3,3,1
17,2,1,2,1
19,3,1,2,1
13,3,3,2,1
6,1,1,1,1
8,1,1,1,1
11,1,1,1,1
18,2,1,2,1
67,11,1,11,1
4,1,1,1,1
70,9,5,8,1
32,5,1,4,1
20,5,4,4,1
14,4,4,4,1
70,7,4,6,1
37,6,1,4,1
88,14,9,13,1
95,5,1,5,1
186,28,20,8,1
50,11,10,2,1
27,5,3,3,1
57,5,1,4,1
165,22,1,18,1
35,3,1,3,1
24,3,1,3,1
67,12,7,6,1
23,4,1,4,1
74,12,10,5,1
10,2,1,2,1
50,8,1,7,1
52,9,5,9,1
18,2,1,2,1
31,12,12,11,1
94,12,1,10,1
5,1,1,1,1
19,6,1,3,1
4,1,1,1,1
33,1,1,1,1
36,2,1,2,1
41,7,6,5,1
23,2,1,2,1
591,88,44,51,1
10,1,1,1,1
5,1,1,1,1
115,2,1,1,1
113,16,9,10,1
17,3,1,1,1
200,52,13,37,1
18,2,1,2,1
35,4,1,4,1
84,22,6,9,1
36,4,1,4,1
65,9,7,5,1
9,3,3,2,1
13,3,1,3,1
5,1,1,1,1
20,7,7,3,1
30,6,5,5,1
45,5,1,4,1
15,4,4,2,1
107,14,7,9,1
54,8,3,5,1
112,20,15,7,1
246,46,39,13,1
48,8,7,5,1
18,1,1,1,1
31,5,1,5,1
14,2,1,2,1
14,2,1,2,1
