loc,v(g),ev(g),iv(g),defects
1,1,1,1,0
1,1,1,1,1
415,59,50,51,1
230,33,10,16,1
175,26,12,13,1
163,16,13,11,1
152,11,6,11,1
3,1,1,1,0
14,2,1,2,0
10,2,1,2,0
8,1,1,1,0
6,1,1,1,0
14,2,1,1,0
4,1,1,1,0
2,1,1,1,0
2,1,1,1,0
39,4,1,2,0
5,1,1,1,0
9,2,1,1,0
9,2,1,1,0
6,1,1,1,0
6,1,1,1,0
11,1,1,1,0
14,2,1,2,0
63,10,4,5,0
3,1,1,1,0
74,12,4,5,0
10,1,1,1,0
7,1,1,1,0
4,1,1,1,0
5,1,1,1,0
38,9,5,5,0
15,3,1,2,0
45,6,1,3,0
39,4,1,2,0
7,2,1,2,0
82,10,1,10,0
13,2,1,2,0
12,3,1,2,0
64,4,1,3,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
9,1,1,1,0
64,6,1,6,0
4,2,1,1,0
12,1,1,1,0
23,3,1,2,0
20,4,1,3,0
13,1,1,1,0
15,1,1,1,0
13,1,1,1,0
26,4,1,3,0
6,1,1,1,0
15,2,1,1,0
6,1,1,1,0
4,1,1,1,0
6,2,1,1,0
3,1,1,1,0
17,3,1,2,0
22,2,1,2,0
16,1,1,1,0
23,2,1,2,0
28,2,1,2,0
9,1,1,1,0
7,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
5,1,1,1,0
15,1,1,1,0
4,1,1,1,0
56,3,1,2,0
4,1,1,1,0
7,1,1,1,0
78,6,5,6,0
3,1,1,1,0
16,2,1,2,0
39,4,3,3,0
30,6,5,4,0
4,1,1,1,0
102,25,4,4,0
10,2,1,2,0
40,4,1,4,0
46,4,1,4,0
29,6,4,4,0
3,1,1,1,0
68,5,1,3,0
31,5,1,3,0
4,1,1,1,0
16,1,1,1,0
8,1,1,1,0
7,1,1,1,0
4,1,1,1,0
45,5,1,4,0
4,1,1,1,0
4,1,1,1,0
17,6,1,5,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
6,1,1,1,0
15,6,1,5,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
188,8,4,5,0
4,1,1,1,0
8,1,1,1,0
4,1,1,1,0
4,1,1,1,0
8,1,1,1,0
8,1,1,1,0
20,2,1,2,0
7,1,1,1,0
8,1,1,1,0
8,1,1,1,0
9,1,1,1,0
8,1,1,1,0
5,1,1,1,0
4,1,1,1,0
8,1,1,1,0
8,1,1,1,0
4,1,1,1,0
82,10,4,5,0
38,2,1,2,0
57,4,1,3,0
31,5,1,3,0
7,1,1,1,0
2,1,1,1,0
5,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
28,4,1,4,0
4,1,1,1,0
4,1,1,1,0
26,4,1,4,0
3,1,1,1,0
11,2,1,2,0
4,1,1,1,0
5,1,1,1,0
56,4,1,4,0
56,4,1,4,0
21,2,1,2,0
21,2,1,2,0
34,3,1,3,0
47,5,4,4,0
30,3,3,2,0
43,4,1,4,0
38,3,1,3,0
4,1,1,1,0
4,1,1,1,0
3,1,1,1,0
45,3,1,3,0
45,4,1,4,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
5,1,1,1,0
11,2,1,2,0
47,2,1,2,0
28,2,1,2,0
8,1,1,1,0
3,1,1,1,0
97,8,7,8,0
13,2,1,2,0
10,2,1,2,0
7,1,1,1,0
31,3,1,3,0
15,3,1,2,0
21,5,1,3,0
8,1,1,1,0
4,1,1,1,0
15,3,1,2,0
14,3,1,2,0
21,4,1,4,0
17,4,1,2,0
6,1,1,1,0
6,1,1,1,0
6,1,1,1,0
6,1,1,1,0
6,1,1,1,0
6,1,1,1,0
6,1,1,1,0
6,1,1,1,0
41,8,7,7,0
56,7,3,6,0
60,7,4,6,0
55,12,9,9,0
4,1,1,1,0
33,6,4,4,0
58,13,3,5,0
19,3,3,2,0
8,2,1,2,0
18,2,1,2,0
26,5,1,2,0
29,2,1,2,0
16,4,3,2,0
6,1,1,1,0
29,3,1,3,0
4,1,1,1,0
4,1,1,1,0
2,1,1,1,0
4,1,1,1,0
4,1,1,1,0
2,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
6,3,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
6,3,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
6,1,1,1,0
4,1,1,1,0
4,1,1,1,0
20,2,1,2,0
6,1,1,1,0
36,8,8,5,0
4,1,1,1,0
2,1,1,1,0
4,1,1,1,0
4,1,1,1,0
29,3,1,3,0
4,1,1,1,0
44,9,4,4,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
2,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
5,1,1,1,0
7,1,1,1,0
7,4,1,1,0
138,20,18,15,0
4,1,1,1,0
2,1,1,1,0
10,1,1,1,0
4,1,1,1,0
21,2,1,2,0
4,1,1,1,0
4,1,1,1,0
7,4,1,1,0
20,2,1,2,0
4,1,1,1,0
5,1,1,1,0
33,4,3,4,0
4,1,1,1,0
94,12,5,7,0
5,1,1,1,0
8,1,1,1,0
12,2,1,2,0
12,2,1,2,0
5,1,1,1,0
5,1,1,1,0
51,6,1,5,0
10,2,1,1,0
88,8,4,6,0
47,7,6,6,0
44,6,6,6,0
41,7,1,6,0
21,3,3,2,0
6,2,1,1,0
4,1,1,1,0
2,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
4,1,1,1,0
10,5,1,1,0
20,2,1,2,0
241,20,4,20,0
2,1,1,1,0
66,13,3,7,0
4,1,1,1,0
4,1,1,1,0
10,2,1,1,0
11,1,1,1,0
12,2,1,2,0
144,14,7,11,0
11,2,1,2,0
22,3,1,3,0
11,2,1,2,0
10,2,1,1,0
30,2,1,2,0
43,4,3,4,0
83,7,1,6,0
4,1,1,1,0
106,12,7,8,0
3,1,1,1,0
11,2,1,2,0
11,2,1,2,0
4,1,1,1,0
6,1,1,1,0
18,2,1,2,0
20,3,3,3,0
7,3,1,1,0
100,9,1,8,0
28,2,1,2,0
10,2,1,2,0
30,5,3,4,0
20,4,3,3,0
23,3,1,3,0
12,2,1,2,0
20,3,1,2,0
28,2,1,2,0
28,2,1,2,0
3,1,1,1,0
78,5,1,5,0
14,2,1,2,0
10,2,1,2,0
8,1,1,1,0
29,3,1,3,0
3,1,1,1,0
21,2,1,2,0
13,2,1,2,0
43,5,1,4,0
12,2,1,2,0
18,5,1,2,0
4,1,1,1,0
3,1,1,1,0
7,1,1,1,0
33,6,1,2,0
43,3,1,3,0
7,1,1,1,0
52,4,1,3,0
48,3,1,3,0
47,3,1,3,0
30,5,1,4,0
91,8,6,7,0
70,6,1,4,0
28,5,1,2,0
4,1,1,1,0
108,11,1,8,0
4,2,1,1,0
5,1,1,1,0
174,29,7,14,0
100,8,1,8,0
64,5,1,5,0
55,13,1,13,0
59,5,1,4,0
71,11,1,6,0
30,6,1,3,0
33,6,1,3,0
49,4,1,2,0
4,1,1,1,0
29,5,1,3,0
50,3,1,3,0
62,6,3,5,0
19,4,1,1,0
33,2,1,2,0
5,1,1,1,0
32,4,1,2,0
4,1,1,1,0
7,1,1,1,0
7,1,1,1,0
7,1,1,1,0
6,1,1,1,0
4,1,1,1,0
8,1,1,1,0
6,2,1,2,0
6,1,1,1,0
4,1,1,1,0
6,1,1,1,0
4,1,1,1,0
46,9,6,7,0
17,4,1,3,0
48,15,1,7,0
13,2,1,2,0
30,3,1,3,0
11,2,1,2,0
13,2,1,2,0
29,4,1,4,0
60,5,1,5,0
5,2,1,1,0
47,3,1,3,0
38,4,1,4,0
46,4,1,4,0
2,1,1,1,0
8,1,1,1,0
