loc,v(g),ev(g),iv(g),defects
1,1,1,1,0
1,1,1,1,1
91,9,3,2,1
109,21,5,18,1
505,106,41,82,1
107,25,7,14,1
74,11,1,8,1
602,136,123,123,1
29,2,1,2,1
36,3,1,1,1
70,11,1,6,1
109,20,12,4,1
37,3,1,3,1
90,29,8,9,1
19,2,1,2,1
152,21,4,5,1
22,5,5,4,1
69,12,1,1,1
49,9,1,8,1
48,3,1,2,1
128,19,1,3,1
32,6,1,5,1
38,6,6,6,1
34,6,6,6,1
16,3,1,3,1
15,4,3,2,1
14,3,1,3,1
22,5,5,4,1
22,3,1,3,1
12,2,1,2,1
25,8,1,4,1
23,4,1,4,1
8,1,1,1,1
47,7,1,6,1
19,3,3,2,1
64,8,1,8,1
110,25,21,9,1
58,6,1,3,1
167,26,1,23,1
60,12,4,7,1
14,3,1,1,1
15,1,1,1,1
120,7,3,4,1
28,6,1,5,1
64,12,8,7,1
61,7,1,4,1
3,1,1,1,1
141,24,9,18,1
6,1,1,1,1
93,17,4,12,1
6,1,1,1,1
31,7,4,4,1
153,25,6,13,1
63,17,9,7,1
106,29,20,5,1
23,5,4,3,1
29,5,5,5,1
84,9,1,3,1
17,1,1,1,1
6,1,1,1,1
15,4,3,2,1
29,5,5,5,1
5,1,1,1,1
15,3,1,3,1
5,1,1,1,1
6,1,1,1,1
23,4,1,4,1
5,1,1,1,1
5,1,1,1,1
43,9,7,7,1
14,4,1,2,1
16,5,1,2,1
3,1,1,1,1
24,4,1,1,1
17,4,1,1,1
6,1,1,1,1
27,7,1,4,1
6,1,1,1,1
10,1,1,1,0
29,6,1,3,0
8,2,1,1,0
108,22,5,17,0
14,7,1,2,0
0,1,1,1,0
13,4,1,3,0
0,1,1,1,0
56,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
7,1,1,1,0
9,2,1,1,0
10,1,1,1,0
7,1,1,1,0
9,2,1,1,0
14,1,1,1,0
11,3,1,1,0
19,5,1,5,0
0,1,1,1,0
0,1,1,1,0
14,2,1,2,0
4,1,1,1,0
4,1,1,1,0
11,1,1,1,0
0,1,1,1,0
6,2,1,2,0
0,1,1,1,0
6,1,1,1,0
14,2,1,2,0
17,6,1,3,0
36,7,5,7,0
49,10,7,7,0
0,1,1,1,0
40,9,5,7,0
7,2,1,1,0
76,14,5,8,0
19,2,1,2,0
15,3,1,3,0
10,3,1,1,0
10,1,1,1,0
15,3,1,3,0
10,3,1,1,0
9,1,1,1,0
0,1,1,1,0
0,1,1,1,0
57,9,1,9,0
36,9,5,5,0
0,1,1,1,0
9,1,1,1,0
8,1,1,1,0
14,2,1,2,0
4,1,1,1,0
36,10,1,6,0
3,1,1,1,0
10,2,1,2,0
8,2,1,2,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
51,14,9,11,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
7,1,1,1,0
18,5,1,5,0
9,1,1,1,0
7,1,1,1,0
3,1,1,1,0
10,1,1,1,0
35,7,5,7,0
23,6,5,4,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
63,11,5,6,0
22,3,1,2,0
0,1,1,1,0
8,3,1,3,0
142,73,15,60,0
58,72,70,71,0
22,14,9,1,0
29,8,6,6,0
44,6,1,3,0
0,1,1,1,0
5,1,1,1,0
7,1,1,1,0
8,1,1,1,0
16,1,1,1,0
7,1,1,1,0
8,1,1,1,0
9,1,1,1,0
0,1,1,1,0
0,1,1,1,0
3,1,1,1,0
3,1,1,1,0
23,3,1,3,0
14,2,1,2,0
3,1,1,1,0
0,1,1,1,0
27,8,1,8,0
18,5,3,3,0
53,3,3,2,0
253,33,13,27,0
11,2,1,2,0
10,1,1,1,0
17,1,1,1,0
11,2,1,2,0
10,1,1,1,0
15,1,1,1,0
19,3,1,3,0
28,2,1,2,0
4,1,1,1,0
4,1,1,1,0
62,6,1,5,0
3,2,1,2,0
0,1,1,1,0
13,3,1,3,0
16,2,1,2,0
5,1,1,1,0
15,3,1,2,0
91,16,7,10,0
26,5,1,5,0
11,1,1,1,0
16,1,1,1,0
26,5,1,5,0
11,1,1,1,0
17,1,1,1,0
20,9,9,4,0
23,3,3,3,0
30,7,5,5,0
29,6,5,2,0
8,1,1,1,0
8,2,1,1,0
43,13,3,9,0
45,12,1,5,0
21,8,4,2,0
3,1,1,1,0
33,9,1,6,0
46,8,1,5,0
18,6,1,4,0
45,5,1,3,0
19,2,1,1,0
8,1,1,1,0
5,1,1,1,0
11,1,1,1,0
8,1,1,1,0
5,1,1,1,0
16,1,1,1,0
19,3,1,2,0
27,3,1,3,0
10,1,1,1,0
7,2,1,2,0
17,4,1,3,0
8,1,1,1,0
21,8,4,2,0
13,3,3,3,0
27,8,4,6,0
14,1,1,1,0
14,5,1,2,0
28,3,1,2,0
25,6,5,3,0
19,5,1,2,0
7,1,1,1,0
6,1,1,1,0
9,1,1,1,0
7,1,1,1,0
6,1,1,1,0
7,1,1,1,0
32,9,1,7,0
32,7,1,3,0
64,8,4,2,0
7,2,1,2,0
4,2,1,2,0
5,1,1,1,0
10,2,1,2,0
10,4,1,1,0
13,7,4,7,0
8,4,1,4,0
18,5,3,2,0
5,1,1,1,0
5,1,1,1,0
11,1,1,1,0
24,7,4,5,0
12,3,3,1,0
3,1,1,1,0
64,8,4,2,0
12,3,1,2,0
19,9,6,4,0
0,2,1,1,0
46,14,9,4,0
72,21,1,6,0
47,10,9,7,0
72,3,1,1,0
41,8,3,4,0
6,1,1,1,0
6,1,1,1,0
9,1,1,1,0
12,1,1,1,0
123,27,8,27,0
24,4,1,4,0
24,8,3,2,0
19,5,1,5,0
15,2,1,2,0
0,2,1,1,0
0,1,1,1,0
6,4,4,2,0
27,9,9,5,0
17,5,5,3,0
32,3,1,1,0
32,3,1,1,0
63,6,1,4,0
4,1,1,1,0
11,2,1,1,0
7,2,1,2,0
25,6,4,2,0
4,1,1,1,0
21,7,1,6,0
11,2,1,2,0
0,2,1,1,0
66,28,22,17,0
40,9,1,5,0
42,6,1,3,0
16,1,1,1,0
5,2,1,1,0
19,5,5,3,0
28,5,1,5,0
28,5,1,5,0
17,3,1,1,0
9,1,1,1,0
35,7,3,6,0
6,1,1,1,0
11,1,1,1,0
42,7,1,7,0
21,5,3,4,0
21,7,6,3,0
0,2,1,1,0
36,15,1,8,0
37,8,3,7,0
12,4,1,2,0
21,6,4,4,0
10,1,1,1,0
13,1,1,1,0
23,5,1,5,0
77,11,5,3,0
4,1,1,1,0
4,1,1,1,0
9,1,1,1,0
0,2,1,1,0
21,9,4,7,0
41,9,3,8,0
46,9,1,2,0
4,1,1,1,0
3,1,1,1,0
12,2,1,1,0
40,9,1,5,0
9,4,1,4,0
12,2,1,2,0
3,1,1,1,0
103,19,6,7,0
5,2,1,2,0
16,4,3,3,0
0,2,1,1,0
8,3,1,3,0
77,14,6,10,0
8,1,1,1,0
15,3,1,2,0
5,1,1,1,0
12,3,3,1,0
44,11,3,8,0
4,1,1,1,0
15,3,1,3,0
52,4,1,1,0
4,1,1,1,0
12,3,1,3,0
7,3,3,3,0
8,2,1,2,0
28,5,3,4,0
155,26,17,11,0
9,2,1,2,0
3,1,1,1,0
31,3,1,1,0
3,1,1,1,0
49,10,3,10,0
37,6,1,2,0
15,2,1,2,0
18,1,1,1,0
144,36,1,17,0
39,8,1,8,0
19,8,8,8,0
13,2,1,1,0
89,34,17,15,0
70,20,1,19,0
21,3,1,3,0
8,1,1,1,0
40,6,3,6,0
48,3,1,1,0
31,3,1,1,0
78,12,1,10,0
5,1,1,1,0
46,10,3,9,0
5,2,1,2,0
69,13,7,8,0
54,7,1,6,0
54,5,1,1,0
141,36,1,17,0
21,5,5,3,0
13,3,1,3,0
7,3,1,1,0
10,1,1,1,0
41,2,1,2,0
42,6,1,6,0
16,7,7,3,0
28,7,5,7,0
31,3,1,1,0
5,2,1,2,0
8,1,1,1,0
32,4,1,4,0
83,15,5,6,0
4,1,1,1,0
39,8,5,8,0
