,loc,v(g),ev(g),iv(g),defects
0,1,1,1,1,0
1,1,1,1,1,1
2,72,7,1,6,1
3,190,3,1,3,1
4,37,4,1,4,1
5,31,2,1,2,1
6,78,9,5,4,1
7,8,1,1,1,1
8,24,2,1,2,1
9,143,22,20,10,1
10,73,10,4,6,1
11,83,11,10,7,1
12,12,3,1,1,1
13,48,4,1,4,1
14,68,8,1,5,1
15,138,22,10,8,1
16,10,1,1,1,1
17,250,49,34,16,1
18,77,8,1,1,1
19,85,9,1,7,1
20,110,17,13,8,1
21,49,6,6,3,1
22,187,35,26,16,1
23,27,6,6,3,1
24,38,8,1,3,1
25,294,43,33,24,1
26,29,3,1,3,1
27,160,5,4,3,1
28,94,16,9,5,1
29,48,3,1,3,1
30,14,2,1,2,1
31,32,6,4,4,1
32,11,1,1,1,1
33,20,3,1,1,1
34,39,1,1,1,1
35,63,21,21,8,1
36,78,6,1,5,1
37,209,26,17,19,1
38,6,2,1,1,1
39,44,13,13,7,1
40,24,3,1,1,1
41,23,2,1,2,1
42,69,6,3,4,1
43,148,19,10,11,1
44,83,20,15,7,1
45,53,4,1,4,1
46,97,15,12,4,1
47,25,2,1,2,1
48,466,110,95,85,1
49,110,27,14,9,1
50,113,19,18,11,1
51,119,9,7,7,1
52,15,3,1,2,1
53,44,10,8,10,1
54,124,55,55,55,1
55,8,1,1,1,1
56,8,1,1,1,1
57,162,27,23,26,1
58,113,27,20,16,1
59,8,1,1,1,1
60,8,1,1,1,1
61,9,2,1,1,1
62,179,36,27,35,1
63,171,16,1,16,1
64,77,15,11,15,1
65,8,1,1,1,1
66,12,4,1,1,1
67,42,9,1,4,1
68,14,1,1,1,1
69,19,5,1,1,1
70,88,8,1,7,1
71,13,2,1,2,1
72,46,4,1,4,1
73,129,30,18,25,1
74,20,1,1,1,1
75,22,1,1,1,1
76,32,2,1,2,1
77,13,1,1,1,1
78,12,3,1,2,1
79,6,1,1,1,1
80,17,3,1,1,1
81,5,1,1,1,1
82,227,55,22,26,1
83,68,5,1,4,1
84,37,4,1,4,1
85,106,12,5,9,1
86,18,1,1,1,1
87,100,11,1,7,1
88,99,14,5,11,1
89,53,6,1,3,1
90,4,1,1,1,1
91,4,1,1,1,1
92,4,1,1,1,1
93,4,1,1,1,1
94,4,1,1,1,1
95,50,5,5,3,1
96,14,3,1,1,1
97,11,2,1,1,1
98,174,15,11,7,1
99,33,4,1,3,1
100,4,1,1,1,1
101,13,2,1,2,1
102,135,11,1,9,1
103,49,6,3,5,1
104,45,6,1,3,1
105,65,4,4,1,1
106,40,5,3,5,1
107,59,7,5,7,1
108,31,4,3,4,1
109,45,9,9,5,1
110,31,6,1,3,1
111,28,2,1,2,1
112,49,3,1,3,1
113,30,5,3,4,1
114,146,15,9,9,1
115,127,16,10,9,1
116,85,18,11,1,1
117,28,5,3,4,1
118,21,4,3,3,1
119,127,23,21,8,1
120,45,12,1,6,1
121,31,3,1,2,1
122,11,3,1,2,1
123,28,6,6,4,1
124,61,8,1,3,1
125,12,2,1,1,1
126,20,6,6,2,1
127,28,3,1,2,1
128,55,4,1,4,1
129,38,6,1,3,1
130,14,10,7,6,1
131,142,11,1,3,1
132,29,3,1,2,1
133,15,2,1,2,1
134,54,5,1,4,1
135,105,6,1,4,1
136,29,3,3,2,1
137,15,3,1,1,1
138,24,4,4,2,1
139,25,4,4,2,1
140,88,14,1,14,1
141,116,13,7,12,1
142,71,5,1,4,1
143,49,4,3,3,1
144,87,10,5,4,1
145,19,2,1,2,1
146,99,9,1,7,1
147,84,8,5,5,1
148,77,10,1,10,1
149,139,20,8,3,1
150,37,5,1,1,1
151,29,3,1,3,1
152,20,3,1,3,1
153,31,3,1,3,1
154,34,5,1,1,1
155,62,6,4,5,1
156,132,31,23,12,1
157,18,4,1,3,1
158,68,4,3,4,1
159,4,1,1,1,1
160,22,1,1,1,1
161,10,2,1,1,1
162,76,8,6,7,1
