,loc,v(g),ev(g),iv(g)
0,1.1,1.4,1.4,1.4
1,1.0,1.0,1.0,1.0
2,83.0,11.0,1.0,11.0
3,46.0,8.0,6.0,8.0
4,25.0,3.0,1.0,3.0
5,43.0,3.0,1.0,3.0
6,48.0,6.0,1.0,6.0
7,69.0,12.0,1.0,12.0
8,47.0,6.0,1.0,6.0
9,48.0,7.0,1.0,7.0
10,58.0,9.0,1.0,9.0
11,65.0,6.0,1.0,5.0
12,116.0,11.0,4.0,8.0
13,24.0,4.0,1.0,4.0
14,77.0,19.0,12.0,19.0
15,9.0,1.0,1.0,1.0
16,16.0,2.0,1.0,2.0
17,93.0,7.0,3.0,6.0
18,23.0,1.0,1.0,1.0
19,30.0,1.0,1.0,1.0
20,30.0,1.0,1.0,1.0
21,35.0,3.0,1.0,3.0
22,25.0,4.0,1.0,4.0
23,20.0,7.0,7.0,3.0
24,119.0,14.0,1.0,14.0
25,35.0,4.0,1.0,4.0
26,33.0,4.0,1.0,4.0
27,17.0,2.0,1.0,2.0
28,44.0,3.0,1.0,3.0
29,84.0,15.0,9.0,15.0
30,56.0,3.0,1.0,3.0
31,58.0,3.0,1.0,3.0
32,78.0,7.0,1.0,6.0
33,75.0,8.0,3.0,8.0
34,12.0,1.0,1.0,1.0
35,11.0,1.0,1.0,1.0
36,69.0,10.0,1.0,10.0
37,39.0,5.0,3.0,5.0
38,53.0,5.0,1.0,5.0
39,52.0,5.0,1.0,5.0
40,30.0,2.0,1.0,2.0
41,27.0,3.0,1.0,3.0
42,47.0,7.0,1.0,6.0
43,49.0,7.0,1.0,6.0
44,7.0,1.0,1.0,1.0
45,66.0,12.0,5.0,12.0
46,14.0,1.0,1.0,1.0
47,29.0,3.0,1.0,3.0
48,6.0,1.0,1.0,1.0
49,12.0,1.0,1.0,1.0
50,38.0,7.0,1.0,7.0
51,132.0,16.0,11.0,13.0
52,26.0,4.0,1.0,4.0
53,56.0,5.0,1.0,4.0
54,21.0,1.0,1.0,1.0
55,43.0,6.0,5.0,5.0
56,12.0,4.0,1.0,2.0
57,11.0,1.0,1.0,1.0
58,26.0,2.0,1.0,2.0
59,80.0,11.0,1.0,11.0
60,63.0,8.0,1.0,8.0
61,10.0,2.0,1.0,2.0
62,9.0,2.0,1.0,1.0
63,35.0,5.0,1.0,4.0
64,9.0,1.0,1.0,1.0
65,16.0,2.0,1.0,2.0
66,5.0,1.0,1.0,1.0
67,16.0,1.0,1.0,1.0
68,4.0,1.0,1.0,1.0
69,12.0,2.0,1.0,2.0
70,8.0,2.0,1.0,1.0
71,4.0,1.0,1.0,1.0
72,14.0,2.0,1.0,2.0
73,56.0,3.0,1.0,2.0
74,30.0,2.0,1.0,2.0
75,52.0,8.0,1.0,8.0
76,41.0,6.0,3.0,6.0
77,4.0,1.0,1.0,1.0
78,15.0,1.0,1.0,1.0
79,9.0,1.0,1.0,1.0
80,5.0,1.0,1.0,1.0
81,25.0,1.0,1.0,1.0
82,45.0,1.0,1.0,1.0
83,4.0,1.0,1.0,1.0
84,23.0,3.0,1.0,2.0
85,14.0,1.0,1.0,1.0
86,18.0,2.0,1.0,1.0
87,40.0,4.0,1.0,3.0
88,24.0,3.0,1.0,2.0
89,52.0,6.0,1.0,5.0
90,11.0,1.0,1.0,1.0
91,23.0,6.0,6.0,2.0
92,4.0,1.0,1.0,1.0
93,38.0,8.0,8.0,5.0
94,113.0,15.0,11.0,14.0
95,8.0,1.0,1.0,1.0
96,38.0,6.0,3.0,6.0
97,47.0,13.0,10.0,10.0
98,8.0,1.0,1.0,1.0
99,4.0,1.0,1.0,1.0
100,15.0,3.0,1.0,1.0
101,38.0,5.0,1.0,5.0
102,48.0,12.0,1.0,11.0
103,70.0,15.0,14.0,3.0
104,23.0,5.0,3.0,3.0
105,27.0,8.0,6.0,5.0
106,10.0,1.0,1.0,1.0
107,13.0,1.0,1.0,1.0
108,23.0,8.0,8.0,8.0
109,11.0,4.0,4.0,4.0
110,9.0,2.0,1.0,2.0
111,11.0,3.0,3.0,2.0
112,49.0,8.0,1.0,7.0
113,53.0,11.0,6.0,9.0
114,21.0,5.0,4.0,2.0
115,16.0,4.0,1.0,4.0
116,22.0,5.0,3.0,4.0
117,24.0,5.0,3.0,4.0
118,27.0,6.0,1.0,5.0
119,27.0,5.0,1.0,4.0
120,39.0,9.0,9.0,5.0
121,16.0,3.0,1.0,3.0
122,19.0,4.0,1.0,4.0
123,66.0,16.0,11.0,15.0
124,12.0,2.0,1.0,2.0
125,19.0,5.0,5.0,4.0
126,9.0,3.0,3.0,2.0
127,29.0,4.0,3.0,3.0
128,286.0,27.0,5.0,25.0
129,26.0,3.0,1.0,3.0
130,64.0,11.0,1.0,11.0
131,47.0,4.0,1.0,4.0
132,107.0,9.0,7.0,7.0
133,107.0,9.0,7.0,7.0
134,74.0,5.0,3.0,4.0
135,37.0,4.0,1.0,4.0
136,79.0,7.0,1.0,6.0
137,134.0,15.0,8.0,14.0
138,55.0,4.0,3.0,3.0
139,22.0,3.0,1.0,2.0
140,22.0,3.0,1.0,2.0
141,8.0,3.0,1.0,3.0
142,151.0,18.0,4.0,16.0
143,2.0,1.0,1.0,1.0
144,2.0,1.0,1.0,1.0
145,70.0,13.0,4.0,12.0
146,4.0,1.0,1.0,1.0
147,2.0,1.0,1.0,1.0
148,27.0,1.0,1.0,1.0
149,57.0,1.0,1.0,1.0
150,4.0,1.0,1.0,1.0
151,7.0,1.0,1.0,1.0
152,7.0,1.0,1.0,1.0
153,16.0,2.0,1.0,2.0
154,11.0,1.0,1.0,1.0
155,8.0,2.0,1.0,1.0
156,62.0,14.0,1.0,9.0
157,39.0,4.0,1.0,4.0
158,165.0,13.0,11.0,12.0
159,45.0,3.0,1.0,3.0
160,3.0,1.0,1.0,1.0
161,21.0,2.0,1.0,2.0
162,23.0,1.0,1.0,1.0
163,12.0,1.0,1.0,1.0
164,44.0,7.0,1.0,5.0
165,17.0,4.0,3.0,3.0
166,40.0,5.0,3.0,4.0
167,179.0,13.0,4.0,12.0
168,92.0,8.0,3.0,8.0
169,14.0,1.0,1.0,1.0
170,92.0,8.0,3.0,8.0
171,64.0,4.0,1.0,4.0
172,184.0,16.0,12.0,13.0
173,17.0,4.0,3.0,3.0
174,38.0,5.0,3.0,4.0
175,6.0,1.0,1.0,1.0
176,41.0,4.0,1.0,4.0
177,13.0,1.0,1.0,1.0
178,20.0,4.0,3.0,3.0
179,50.0,5.0,4.0,4.0
180,17.0,1.0,1.0,1.0
181,41.0,6.0,5.0,5.0
182,29.0,4.0,1.0,1.0
183,125.0,8.0,5.0,7.0
184,42.0,5.0,3.0,4.0
185,17.0,4.0,3.0,3.0
186,14.0,3.0,3.0,3.0
187,9.0,1.0,1.0,1.0
188,3.0,1.0,1.0,1.0
189,11.0,2.0,1.0,2.0
190,35.0,3.0,1.0,3.0
191,7.0,2.0,1.0,2.0
192,34.0,5.0,1.0,5.0
193,24.0,4.0,1.0,3.0
194,35.0,4.0,1.0,4.0
195,48.0,4.0,1.0,4.0
196,61.0,7.0,1.0,7.0
197,20.0,1.0,1.0,1.0
198,10.0,1.0,1.0,1.0
199,38.0,5.0,1.0,5.0
200,4.0,1.0,1.0,1.0
201,15.0,2.0,1.0,2.0
202,6.0,1.0,1.0,1.0
203,6.0,1.0,1.0,1.0
204,50.0,6.0,5.0,5.0
205,17.0,1.0,1.0,1.0
206,20.0,2.0,1.0,2.0
207,8.0,1.0,1.0,1.0
208,20.0,5.0,1.0,5.0
209,36.0,7.0,3.0,6.0
210,27.0,1.0,1.0,1.0
211,13.0,3.0,1.0,3.0
212,13.0,3.0,1.0,3.0
213,13.0,3.0,1.0,3.0
214,78.0,6.0,3.0,6.0
215,84.0,7.0,3.0,7.0
216,99.0,8.0,5.0,8.0
217,25.0,3.0,1.0,3.0
218,97.0,14.0,1.0,14.0
219,95.0,16.0,9.0,16.0
220,132.0,14.0,8.0,13.0
221,61.0,4.0,1.0,4.0
222,8.0,1.0,1.0,1.0
223,55.0,5.0,1.0,5.0
224,57.0,4.0,1.0,4.0
225,51.0,13.0,8.0,13.0
226,93.0,7.0,1.0,7.0
227,29.0,1.0,1.0,1.0
228,112.0,16.0,10.0,13.0
229,152.0,22.0,6.0,16.0
230,25.0,4.0,1.0,4.0
231,78.0,11.0,1.0,11.0
232,35.0,5.0,3.0,4.0
233,12.0,3.0,1.0,3.0
234,19.0,2.0,1.0,2.0
235,19.0,3.0,1.0,3.0
236,15.0,2.0,1.0,2.0
237,217.0,28.0,18.0,27.0
238,150.0,27.0,22.0,18.0
239,30.0,3.0,1.0,3.0
240,15.0,1.0,1.0,1.0
241,41.0,1.0,1.0,1.0
242,25.0,3.0,3.0,3.0
243,15.0,8.0,4.0,3.0
