,loc,v(g),ev(g),iv(g),defects
0,1.1,1.4,1.4,1.4,False
1,1.0,1.0,1.0,1.0,True
2,415.0,59.0,50.0,51.0,True
3,230.0,33.0,10.0,16.0,True
4,175.0,26.0,12.0,13.0,True
5,163.0,16.0,13.0,11.0,True
6,152.0,11.0,6.0,11.0,True
7,3.0,1.0,1.0,1.0,False
8,14.0,2.0,1.0,2.0,False
9,10.0,2.0,1.0,2.0,False
10,8.0,1.0,1.0,1.0,False
11,6.0,1.0,1.0,1.0,False
12,14.0,2.0,1.0,1.0,False
13,4.0,1.0,1.0,1.0,False
14,2.0,1.0,1.0,1.0,False
15,2.0,1.0,1.0,1.0,False
16,39.0,4.0,1.0,2.0,False
17,5.0,1.0,1.0,1.0,False
18,9.0,2.0,1.0,1.0,False
19,9.0,2.0,1.0,1.0,False
20,6.0,1.0,1.0,1.0,False
21,6.0,1.0,1.0,1.0,False
22,11.0,1.0,1.0,1.0,False
23,14.0,2.0,1.0,2.0,False
24,63.0,10.0,4.0,5.0,False
25,3.0,1.0,1.0,1.0,False
26,74.0,12.0,4.0,5.0,False
27,10.0,1.0,1.0,1.0,False
28,7.0,1.0,1.0,1.0,False
29,4.0,1.0,1.0,1.0,False
30,5.0,1.0,1.0,1.0,False
31,38.0,9.0,5.0,5.0,False
32,15.0,3.0,1.0,2.0,False
33,45.0,6.0,1.0,3.0,False
34,39.0,4.0,1.0,2.0,False
35,7.0,2.0,1.0,2.0,False
36,82.0,10.0,1.0,10.0,False
37,13.0,2.0,1.0,2.0,False
38,12.0,3.0,1.0,2.0,False
39,64.0,4.0,1.0,3.0,False
40,4.0,1.0,1.0,1.0,False
41,4.0,1.0,1.0,1.0,False
42,4.0,1.0,1.0,1.0,False
43,4.0,1.0,1.0,1.0,False
44,4.0,1.0,1.0,1.0,False
45,4.0,1.0,1.0,1.0,False
46,4.0,1.0,1.0,1.0,False
47,9.0,1.0,1.0,1.0,False
48,64.0,6.0,1.0,6.0,False
49,4.0,2.0,1.0,1.0,False
50,12.0,1.0,1.0,1.0,False
51,23.0,3.0,1.0,2.0,False
52,20.0,4.0,1.0,3.0,False
53,13.0,1.0,1.0,1.0,False
54,15.0,1.0,1.0,1.0,False
55,13.0,1.0,1.0,1.0,False
56,26.0,4.0,1.0,3.0,False
57,6.0,1.0,1.0,1.0,False
58,15.0,2.0,1.0,1.0,False
59,6.0,1.0,1.0,1.0,False
60,4.0,1.0,1.0,1.0,False
61,6.0,2.0,1.0,1.0,False
62,3.0,1.0,1.0,1.0,False
63,17.0,3.0,1.0,2.0,False
64,22.0,2.0,1.0,2.0,False
65,16.0,1.0,1.0,1.0,False
66,23.0,2.0,1.0,2.0,False
67,28.0,2.0,1.0,2.0,False
68,9.0,1.0,1.0,1.0,False
69,7.0,1.0,1.0,1.0,False
70,4.0,1.0,1.0,1.0,False
71,4.0,1.0,1.0,1.0,False
72,4.0,1.0,1.0,1.0,False
73,5.0,1.0,1.0,1.0,False
74,15.0,1.0,1.0,1.0,False
75,4.0,1.0,1.0,1.0,False
76,56.0,3.0,1.0,2.0,False
77,4.0,1.0,1.0,1.0,False
78,7.0,1.0,1.0,1.0,False
79,78.0,6.0,5.0,6.0,False
80,3.0,1.0,1.0,1.0,False
81,16.0,2.0,1.0,2.0,False
82,39.0,4.0,3.0,3.0,False
83,30.0,6.0,5.0,4.0,False
84,4.0,1.0,1.0,1.0,False
85,102.0,25.0,4.0,4.0,False
86,10.0,2.0,1.0,2.0,False
87,40.0,4.0,1.0,4.0,False
88,46.0,4.0,1.0,4.0,False
89,29.0,6.0,4.0,4.0,False
90,3.0,1.0,1.0,1.0,False
91,68.0,5.0,1.0,3.0,False
92,31.0,5.0,1.0,3.0,False
93,4.0,1.0,1.0,1.0,False
94,16.0,1.0,1.0,1.0,False
95,8.0,1.0,1.0,1.0,False
96,7.0,1.0,1.0,1.0,False
97,4.0,1.0,1.0,1.0,False
98,45.0,5.0,1.0,4.0,False
99,4.0,1.0,1.0,1.0,False
100,4.0,1.0,1.0,1.0,False
101,17.0,6.0,1.0,5.0,False
102,4.0,1.0,1.0,1.0,False
103,4.0,1.0,1.0,1.0,False
104,4.0,1.0,1.0,1.0,False
105,6.0,1.0,1.0,1.0,False
106,15.0,6.0,1.0,5.0,False
107,4.0,1.0,1.0,1.0,False
108,4.0,1.0,1.0,1.0,False
109,4.0,1.0,1.0,1.0,False
110,4.0,1.0,1.0,1.0,False
111,188.0,8.0,4.0,5.0,False
112,4.0,1.0,1.0,1.0,False
113,8.0,1.0,1.0,1.0,False
114,4.0,1.0,1.0,1.0,False
115,4.0,1.0,1.0,1.0,False
116,8.0,1.0,1.0,1.0,False
117,8.0,1.0,1.0,1.0,False
118,20.0,2.0,1.0,2.0,False
119,7.0,1.0,1.0,1.0,False
120,8.0,1.0,1.0,1.0,False
121,8.0,1.0,1.0,1.0,False
122,9.0,1.0,1.0,1.0,False
123,8.0,1.0,1.0,1.0,False
124,5.0,1.0,1.0,1.0,False
125,4.0,1.0,1.0,1.0,False
126,8.0,1.0,1.0,1.0,False
127,8.0,1.0,1.0,1.0,False
128,4.0,1.0,1.0,1.0,False
129,82.0,10.0,4.0,5.0,False
130,38.0,2.0,1.0,2.0,False
131,57.0,4.0,1.0,3.0,False
132,31.0,5.0,1.0,3.0,False
133,7.0,1.0,1.0,1.0,False
134,2.0,1.0,1.0,1.0,False
135,5.0,1.0,1.0,1.0,False
136,4.0,1.0,1.0,1.0,False
137,4.0,1.0,1.0,1.0,False
138,4.0,1.0,1.0,1.0,False
139,28.0,4.0,1.0,4.0,False
140,4.0,1.0,1.0,1.0,False
141,4.0,1.0,1.0,1.0,False
142,26.0,4.0,1.0,4.0,False
143,3.0,1.0,1.0,1.0,False
144,11.0,2.0,1.0,2.0,False
145,4.0,1.0,1.0,1.0,False
146,5.0,1.0,1.0,1.0,False
147,56.0,4.0,1.0,4.0,False
148,56.0,4.0,1.0,4.0,False
149,21.0,2.0,1.0,2.0,False
150,21.0,2.0,1.0,2.0,False
151,34.0,3.0,1.0,3.0,False
152,47.0,5.0,4.0,4.0,False
153,30.0,3.0,3.0,2.0,False
154,43.0,4.0,1.0,4.0,False
155,38.0,3.0,1.0,3.0,False
156,4.0,1.0,1.0,1.0,False
157,4.0,1.0,1.0,1.0,False
158,3.0,1.0,1.0,1.0,False
159,45.0,3.0,1.0,3.0,False
160,45.0,4.0,1.0,4.0,False
161,4.0,1.0,1.0,1.0,False
162,4.0,1.0,1.0,1.0,False
163,4.0,1.0,1.0,1.0,False
164,4.0,1.0,1.0,1.0,False
165,4.0,1.0,1.0,1.0,False
166,4.0,1.0,1.0,1.0,False
167,5.0,1.0,1.0,1.0,False
168,11.0,2.0,1.0,2.0,False
169,47.0,2.0,1.0,2.0,False
170,28.0,2.0,1.0,2.0,False
171,8.0,1.0,1.0,1.0,False
172,3.0,1.0,1.0,1.0,False
173,97.0,8.0,7.0,8.0,False
174,13.0,2.0,1.0,2.0,False
175,10.0,2.0,1.0,2.0,False
176,7.0,1.0,1.0,1.0,False
177,31.0,3.0,1.0,3.0,False
178,15.0,3.0,1.0,2.0,False
179,21.0,5.0,1.0,3.0,False
180,8.0,1.0,1.0,1.0,False
181,4.0,1.0,1.0,1.0,False
182,15.0,3.0,1.0,2.0,False
183,14.0,3.0,1.0,2.0,False
184,21.0,4.0,1.0,4.0,False
185,17.0,4.0,1.0,2.0,False
186,6.0,1.0,1.0,1.0,False
187,6.0,1.0,1.0,1.0,False
188,6.0,1.0,1.0,1.0,False
189,6.0,1.0,1.0,1.0,False
190,6.0,1.0,1.0,1.0,False
191,6.0,1.0,1.0,1.0,False
