,loc,v(g),ev(g),iv(g),defects
0,1.1,1.4,1.4,1.4,False
1,1.0,1.0,1.0,1.0,True
2,91.0,9.0,3.0,2.0,True
3,109.0,21.0,5.0,18.0,True
4,505.0,106.0,41.0,82.0,True
5,107.0,25.0,7.0,14.0,True
6,74.0,11.0,1.0,8.0,True
7,602.0,136.0,123.0,123.0,True
8,29.0,2.0,1.0,2.0,True
9,36.0,3.0,1.0,1.0,True
10,70.0,11.0,1.0,6.0,True
11,109.0,20.0,12.0,4.0,True
12,37.0,3.0,1.0,3.0,True
13,90.0,29.0,8.0,9.0,True
14,19.0,2.0,1.0,2.0,True
15,152.0,21.0,4.0,5.0,True
16,22.0,5.0,5.0,4.0,True
17,69.0,12.0,1.0,1.0,True
18,49.0,9.0,1.0,8.0,True
19,48.0,3.0,1.0,2.0,True
20,128.0,19.0,1.0,3.0,True
21,32.0,6.0,1.0,5.0,True
22,38.0,6.0,6.0,6.0,True
23,34.0,6.0,6.0,6.0,True
24,16.0,3.0,1.0,3.0,True
25,15.0,4.0,3.0,2.0,True
26,14.0,3.0,1.0,3.0,True
27,22.0,5.0,5.0,4.0,True
28,22.0,3.0,1.0,3.0,True
29,12.0,2.0,1.0,2.0,True
30,25.0,8.0,1.0,4.0,True
31,23.0,4.0,1.0,4.0,True
32,8.0,1.0,1.0,1.0,True
33,47.0,7.0,1.0,6.0,True
34,19.0,3.0,3.0,2.0,True
35,64.0,8.0,1.0,8.0,True
36,110.0,25.0,21.0,9.0,True
37,58.0,6.0,1.0,3.0,True
38,167.0,26.0,1.0,23.0,True
39,60.0,12.0,4.0,7.0,True
40,14.0,3.0,1.0,1.0,True
41,15.0,1.0,1.0,1.0,True
42,120.0,7.0,3.0,4.0,True
43,28.0,6.0,1.0,5.0,True
44,64.0,12.0,8.0,7.0,True
45,61.0,7.0,1.0,4.0,True
46,3.0,1.0,1.0,1.0,True
47,141.0,24.0,9.0,18.0,True
48,6.0,1.0,1.0,1.0,True
49,93.0,17.0,4.0,12.0,True
50,6.0,1.0,1.0,1.0,True
51,31.0,7.0,4.0,4.0,True
52,153.0,25.0,6.0,13.0,True
53,63.0,17.0,9.0,7.0,True
54,106.0,29.0,20.0,5.0,True
55,23.0,5.0,4.0,3.0,True
56,29.0,5.0,5.0,5.0,True
57,84.0,9.0,1.0,3.0,True
58,17.0,1.0,1.0,1.0,True
59,6.0,1.0,1.0,1.0,True
60,15.0,4.0,3.0,2.0,True
61,29.0,5.0,5.0,5.0,True
62,5.0,1.0,1.0,1.0,True
63,15.0,3.0,1.0,3.0,True
64,5.0,1.0,1.0,1.0,True
65,6.0,1.0,1.0,1.0,True
66,23.0,4.0,1.0,4.0,True
67,5.0,1.0,1.0,1.0,True
68,5.0,1.0,1.0,1.0,True
69,43.0,9.0,7.0,7.0,True
70,14.0,4.0,1.0,2.0,True
71,16.0,5.0,1.0,2.0,True
72,3.0,1.0,1.0,1.0,True
73,24.0,4.0,1.0,1.0,True
74,17.0,4.0,1.0,1.0,True
75,6.0,1.0,1.0,1.0,True
76,27.0,7.0,1.0,4.0,True
77,6.0,1.0,1.0,1.0,True
78,10.0,1.0,1.0,1.0,False
79,29.0,6.0,1.0,3.0,False
80,8.0,2.0,1.0,1.0,False
81,108.0,22.0,5.0,17.0,False
82,14.0,7.0,1.0,2.0,False
83,0.0,1.0,1.0,1.0,False
84,13.0,4.0,1.0,3.0,False
85,0.0,1.0,1.0,1.0,False
86,56.0,1.0,1.0,1.0,False
87,0.0,1.0,1.0,1.0,False
88,0.0,1.0,1.0,1.0,False
89,0.0,1.0,1.0,1.0,False
90,0.0,1.0,1.0,1.0,False
91,0.0,1.0,1.0,1.0,False
92,0.0,1.0,1.0,1.0,False
93,0.0,1.0,1.0,1.0,False
94,0.0,1.0,1.0,1.0,False
95,7.0,1.0,1.0,1.0,False
96,9.0,2.0,1.0,1.0,False
97,10.0,1.0,1.0,1.0,False
98,7.0,1.0,1.0,1.0,False
99,9.0,2.0,1.0,1.0,False
100,14.0,1.0,1.0,1.0,False
101,11.0,3.0,1.0,1.0,False
102,19.0,5.0,1.0,5.0,False
103,0.0,1.0,1.0,1.0,False
104,0.0,1.0,1.0,1.0,False
105,14.0,2.0,1.0,2.0,False
106,4.0,1.0,1.0,1.0,False
107,4.0,1.0,1.0,1.0,False
108,11.0,1.0,1.0,1.0,False
109,0.0,1.0,1.0,1.0,False
110,6.0,2.0,1.0,2.0,False
111,0.0,1.0,1.0,1.0,False
112,6.0,1.0,1.0,1.0,False
113,14.0,2.0,1.0,2.0,False
114,17.0,6.0,1.0,3.0,False
115,36.0,7.0,5.0,7.0,False
116,49.0,10.0,7.0,7.0,False
117,0.0,1.0,1.0,1.0,False
118,40.0,9.0,5.0,7.0,False
119,7.0,2.0,1.0,1.0,False
120,76.0,14.0,5.0,8.0,False
121,19.0,2.0,1.0,2.0,False
122,15.0,3.0,1.0,3.0,False
123,10.0,3.0,1.0,1.0,False
124,10.0,1.0,1.0,1.0,False
125,15.0,3.0,1.0,3.0,False
126,10.0,3.0,1.0,1.0,False
127,9.0,1.0,1.0,1.0,False
128,0.0,1.0,1.0,1.0,False
129,0.0,1.0,1.0,1.0,False
130,57.0,9.0,1.0,9.0,False
131,36.0,9.0,5.0,5.0,False
132,0.0,1.0,1.0,1.0,False
133,9.0,1.0,1.0,1.0,False
134,8.0,1.0,1.0,1.0,False
135,14.0,2.0,1.0,2.0,False
136,4.0,1.0,1.0,1.0,False
137,36.0,10.0,1.0,6.0,False
138,3.0,1.0,1.0,1.0,False
139,10.0,2.0,1.0,2.0,False
140,8.0,2.0,1.0,2.0,False
141,0.0,1.0,1.0,1.0,False
142,0.0,1.0,1.0,1.0,False
143,0.0,1.0,1.0,1.0,False
144,51.0,14.0,9.0,11.0,False
145,0.0,1.0,1.0,1.0,False
146,0.0,1.0,1.0,1.0,False
147,0.0,1.0,1.0,1.0,False
148,0.0,1.0,1.0,1.0,False
149,0.0,1.0,1.0,1.0,False
150,7.0,1.0,1.0,1.0,False
151,18.0,5.0,1.0,5.0,False
152,9.0,1.0,1.0,1.0,False
153,7.0,1.0,1.0,1.0,False
154,3.0,1.0,1.0,1.0,False
155,10.0,1.0,1.0,1.0,False
156,35.0,7.0,5.0,7.0,False
157,23.0,6.0,5.0,4.0,False
158,0.0,1.0,1.0,1.0,False
159,0.0,1.0,1.0,1.0,False
160,0.0,1.0,1.0,1.0,False
161,63.0,11.0,5.0,6.0,False
162,22.0,3.0,1.0,2.0,False
163,0.0,1.0,1.0,1.0,False
164,8.0,3.0,1.0,3.0,False
165,142.0,73.0,15.0,60.0,False
166,58.0,72.0,70.0,71.0,False
167,22.0,14.0,9.0,1.0,False
168,29.0,8.0,6.0,6.0,False
169,44.0,6.0,1.0,3.0,False
170,0.0,1.0,1.0,1.0,False
171,5.0,1.0,1.0,1.0,False
172,7.0,1.0,1.0,1.0,False
173,8.0,1.0,1.0,1.0,False
174,16.0,1.0,1.0,1.0,False
175,7.0,1.0,1.0,1.0,False
176,8.0,1.0,1.0,1.0,False
177,9.0,1.0,1.0,1.0,False
178,0.0,1.0,1.0,1.0,False
179,0.0,1.0,1.0,1.0,False
180,3.0,1.0,1.0,1.0,False
181,3.0,1.0,1.0,1.0,False
182,23.0,3.0,1.0,3.0,False
183,14.0,2.0,1.0,2.0,False
184,3.0,1.0,1.0,1.0,False
185,0.0,1.0,1.0,1.0,False
186,27.0,8.0,1.0,8.0,False
187,18.0,5.0,3.0,3.0,False
188,53.0,3.0,3.0,2.0,False
189,253.0,33.0,13.0,27.0,False
190,11.0,2.0,1.0,2.0,False
191,10.0,1.0,1.0,1.0,False
